date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:24	341315/341315	---MCZ	200	added ('OK')	text/html	etag:W/%225257d-615406c15e768%22	https://gt/in/tvs/oled-tv/highlights/	E:/Website1/samclone/gt/in/tvs/oled-tv/highlights/index.html	(from https://gt/in/)
15:01:24	342700/342700	---MCZ	200	added ('OK')	text/html	etag:W/%2252ae6-615406c243778%22	https://gt/in/tvs/gaming-tv/	E:/Website1/samclone/gt/in/tvs/gaming-tv/index.html	(from https://gt/in/)
15:01:25	312900/312900	---MCZ	200	added ('OK')	text/html	etag:W/%224b67f-6154045358ea0%22	https://gt/in/tvs/smart-tv/highlights/	E:/Website1/samclone/gt/in/tvs/smart-tv/highlights/index.html	(from https://gt/in/)
15:01:25	358120/358120	---MCZ	200	added ('OK')	text/html	etag:W/%2256722-6154040f28dc0%22	https://gt/in/tvs/all-tvs/	E:/Website1/samclone/gt/in/tvs/all-tvs/index.html	(from https://gt/in/)
15:01:25	343094/343094	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2009:31:25%20GMT	https://gt/in/tvs/qled-tv/?qled-8k+neo-qled	E:/Website1/samclone/gt/in/tvs/qled-tv/index2bf0.html	(from https://gt/in/)
15:01:26	351085/351085	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2009:31:25%20GMT	https://gt/in/tvs/all-tvs/?oled-tv	E:/Website1/samclone/gt/in/tvs/all-tvs/indexd209.html	(from https://gt/in/)
15:01:26	340090/340090	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2009:31:26%20GMT	https://gt/in/tvs/qled-tv/?qled-4k	E:/Website1/samclone/gt/in/tvs/qled-tv/indexc7e6.html	(from https://gt/in/)
15:01:26	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61540a68b24f8%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a2.svg	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a2.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.12e6dd99e3461a3b18cde162edbaee38.css)
15:01:27	351942/351942	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2009:31:27%20GMT	https://gt/in/tvs/all-tvs/?crystal-uhd	E:/Website1/samclone/gt/in/tvs/all-tvs/indexa3f1.html	(from https://gt/in/)
15:01:27	318238/318238	---MCZ	200	added ('OK')	text/html	etag:W/%224cb58-615403f8526c8%22	https://gt/in/lifestyle-tvs/the-frame/	E:/Website1/samclone/gt/in/lifestyle-tvs/the-frame/index.html	(from https://gt/in/)
